abc,avar,white,black,hisp,asian,oth,female,dis,takeup,treat
26,218,0,1,0,0,0,0,1,1,1
26,157,1,0,0,0,0,1,0,1,1
12,-51,1,0,0,0,0,0,1,0,0
24,28,0,0,0,0,1,1,0,1,1
0,-94,0,1,0,0,0,0,0,0,0
5,-322,0,1,0,0,0,1,0,0,0
25,51,1,0,0,0,0,1,0,1,1
25,162,0,1,0,0,0,0,0,1,1
16,-51,0,1,0,0,0,1,0,0,0
24,215,0,1,0,0,0,1,0,1,1
6,-176,0,1,0,0,0,1,0,0,0
23,-39,0,0,0,1,0,0,0,0,0
24,66,0,1,0,0,0,0,0,1,1
26,335,0,0,1,0,0,1,0,1,1
24,317,0,1,0,0,0,1,0,1,1
23,273,1,0,0,0,0,1,0,1,1
26,274,1,0,0,0,0,1,0,1,1
22,-341,0,1,0,0,0,0,0,0,0
20,-137,0,1,0,0,0,1,0,0,0
17,-110,1,0,0,0,0,0,0,0,0
14,-258,0,1,0,0,0,0,1,0,0
16,-131,0,1,0,0,0,1,0,0,0
26,-87,0,0,0,0,1,1,0,0,0
1,-264,0,1,0,0,0,0,0,0,0
23,166,0,0,0,0,1,1,0,1,1
0,-305,0,1,0,0,0,0,0,0,0
26,355,0,0,1,0,0,0,0,1,1
20,-327,0,1,0,0,0,1,0,0,0
9,-90,1,0,0,0,0,1,0,0,0
19,-78,0,0,0,0,1,1,0,0,0
2,-32,1,0,0,0,0,0,0,0,0
24,-221,0,1,0,0,0,0,0,0,0
3,-180,0,0,0,0,1,0,0,0,0
26,152,0,0,1,0,0,1,0,1,1
26,42,0,1,0,0,0,0,0,1,1
24,197,0,1,0,0,0,1,0,1,1
24,20,0,0,0,1,0,1,0,1,1
26,18,0,1,0,0,0,0,0,1,1
13,-278,1,0,0,0,0,1,0,0,0
17,-11,0,1,0,0,0,1,0,0,0
20,-81,0,0,1,0,0,1,0,0,0
2,-342,1,0,0,0,0,1,0,0,0
0,-258,0,1,0,0,0,0,0,0,0
25,42,0,1,0,0,0,0,0,1,1
0,-107,1,0,0,0,0,1,0,0,0
24,305,0,1,0,0,0,1,0,1,1
0,-305,0,0,1,0,0,0,0,0,0
20,-164,1,0,0,0,0,1,0,0,0
20,183,0,1,0,0,0,0,0,1,1
25,-186,0,1,0,0,0,1,0,0,0
19,-294,1,0,0,0,0,1,0,0,0
